Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,
2025-04-01,282.1600036621094,282.1600036621094,294.8599853515625,214.25,263.79998779296875,2957985600
2025-05-01,346.4599914550781,346.4599914550781,367.7099914550781,271.0,280.010009765625,2195384900
2025-06-01,317.6600036621094,317.6600036621094,357.5400085449219,273.2099914550781,343.5,2428761900
2025-07-01,308.2699890136719,308.2699890136719,338.0,288.7699890136719,298.4599914550781,2157408700
2025-08-01,333.8699951171875,333.8699951171875,355.3900146484375,297.82000732421875,306.2099914550781,1603195500
2025-09-01,440.3999938964844,440.3999938964844,444.9800109863281,325.6000061035156,328.2300109863281,1919592610
