Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2025-02-14,72.19241333007812,72.64707438732694,71.50053190663535,72.32090203945504,9254400
2025-02-18,76.68961334228516,76.7785728702675,73.63547446399544,73.63547446399544,28252400
2025-02-19,75.8890151977539,76.77857277213931,75.20701980058173,75.92855192782217,14184100
2025-02-20,76.33380126953125,76.3733304605591,75.45412218152025,76.01751495528458,10689600
2025-02-21,75.61226654052734,77.0849739342549,74.97969393352247,76.50182412564678,12823400
2025-02-24,79.34839630126953,80.14899431147943,77.83615226382425,77.96464097507402,24553500
2025-02-25,80.77169036865234,81.00890320335577,79.1210715115384,79.37804894044208,15522500
2025-02-26,80.22806549072266,81.48333207003712,79.901893147355,81.1472736596663,16058100
2025-02-27,79.0914077758789,80.54435042590518,78.53790868667252,80.54435042590518,11651900
2025-02-28,78.50826263427734,79.09141241736202,77.27276813703696,78.33035112504034,14113800
2025-03-03,77.8923568725586,80.42551774726078,77.37578556183239,79.4619202760068,8628800
2025-03-04,76.80955505371094,78.13077659105103,76.2731190706023,77.18704367336778,10034100
2025-03-05,77.29631805419922,77.79301719620852,75.95523188657958,76.81949112212565,9853600
2025-03-06,77.19697570800781,77.81288534036752,76.233378210214,76.233378210214,9623700
2025-03-07,78.0711669921875,78.47846392390292,76.46186663318626,76.96850187684798,9294300
2025-03-10,75.8956298828125,79.66061026233449,75.55787052751954,76.99830257666582,15822600
2025-03-11,73.68034362792969,75.57773785240124,73.13397915827971,75.40886197518363,12837000
2025-03-12,73.09424591064453,74.00817049238938,72.74655803487501,73.86909534208156,12304900
2025-03-13,72.16044616699219,73.45186688590071,71.19684867997955,72.69688211581449,10195900
2025-03-14,71.18692016601562,73.05450609334035,70.84916082972836,72.79622043371208,12183000
2025-03-17,73.21344757080078,73.46179713186731,71.5544743218429,71.66374873503435,15996900
2025-03-18,72.8260269165039,73.67042153436411,72.2399255576883,73.40219974922363,8972300
2025-03-19,72.50813293457031,72.94523057050347,71.81275722197378,72.16044507827205,10830500
2025-03-20,71.3855972290039,73.16378096557594,71.04783789058574,72.4385969247846,25202300
2025-03-21,67.4914779663086,68.27626347510602,64.73976063331892,66.15038429666401,77287000
2025-03-24,66.94510650634766,68.43520386009457,66.24973077287659,68.10738062330375,26552500
2025-03-25,66.10072326660156,67.60075680981805,65.80270074735702,67.11398618978349,17394100
2025-03-26,65.30599975585938,66.15038676448789,64.52121421778453,65.94177403852277,18688300
2025-03-27,65.36560821533203,66.65702139950898,64.85897298311782,65.06758570719963,16435800
2025-03-28,62.87217712402344,65.42521036283372,62.723165868414206,65.42521036283372,19600300
2025-03-31,63.06092071533203,63.56755594704909,62.23640213497865,62.42514643903217,17400000
2025-04-01,64.33247375488281,64.72983457663487,62.882109408147336,63.40861306539586,13489500
2025-04-02,64.5311508178711,64.96824848269242,63.736436747955544,63.87551189966645,11161400
2025-04-03,55.213077545166016,58.292610659645156,55.034265553794846,55.99785929672429,71499500
2025-04-04,56.87205123901367,58.82904705324507,52.15340943315665,52.86865740374146,67775700
2025-04-07,55.24287796020508,56.80251292849869,53.04746871050689,55.03426523465301,45374400
2025-04-08,52.9183235168457,58.38201371473518,52.02426360502204,58.38201371473518,30404300
2025-04-09,58.928382873535156,59.15686401236468,52.13353880879544,52.92825663722714,44732500
2025-04-10,54.04086685180664,56.87205037658213,51.934859812468545,56.85218195664344,53919800
2025-04-11,54.03092956542969,54.66670383150909,52.511031473739024,54.04086566993855,22617100
2025-04-14,55.04419708251953,56.31574563453225,54.309080707441176,55.272678226114714,28346600
2025-04-15,54.4680290222168,55.024329628732175,53.812382525371675,54.319017765749514,15977100
2025-04-16,53.196475982666016,54.78591546991126,52.98786325787255,54.35875391561208,19094900
2025-04-17,55.391883850097656,55.65016951301694,53.29581675994091,53.464692640722845,18935100
2025-04-21,55.749507904052734,55.987925147911035,53.14680558862677,54.86538408095662,17280900
