Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,,
2024-10-01,132.72193908691406,132.75999450683594,144.4199981689453,115.13999938964844,121.7699966430664,5627917200
2024-11-01,138.2103729248047,138.25,152.88999938964844,131.8000030517578,134.6999969482422,4497414600
2024-12-01,134.2515106201172,134.2899932861328,146.5399932861328,126.86000061035156,138.8300018310547,4085855200
2025-01-01,120.04385375976562,120.06999969482422,153.1300048828125,116.25,136.0,5948400800
2025-02-01,124.89279174804688,124.91999816894531,143.44000244140625,113.01000213623047,114.75,4755230400
2025-03-01,108.35639953613281,108.37999725341797,123.69999694824219,103.6500015258789,123.51000213623047,6177950300
2025-04-01,108.90629577636719,108.91999816894531,115.0999984741211,86.62000274658203,108.5199966430664,6811006400
2025-05-01,135.11300659179688,135.1300048828125,143.49000549316406,110.81999969482422,113.08000183105469,4756803800
2025-06-01,157.97012329101562,157.99000549316406,158.7100067138672,135.39999389648438,135.49000549316406,3821296800
2025-07-01,177.85997009277344,177.8699951171875,183.3000030517578,151.49000549316406,156.2899932861328,3596804400
2025-08-01,174.170166015625,174.17999267578125,184.47999572753906,168.8000030517578,174.08999633789062,3608891200
2025-09-01,178.19000244140625,178.19000244140625,184.5500030517578,164.07000732421875,170.0,3608254854
