Date,Adj close,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI_14,EMA_fast,EMA_slow,MACD,MACD_signal,MACD_hist,STD_20,Bollinger_Upper,Bollinger_Lower
2024-10-01 00:00:00+00:00,116.96646118164062,117.0,122.44000244140625,115.79000091552734,121.7699966430664,302094500,,117.0,,117.0,117.0,0.0,0.0,0.0,,,
2024-10-02 00:00:00+00:00,118.81592559814453,118.8499984741211,119.37999725341797,115.13999938964844,116.44000244140625,221845900,,117.17619033086868,,117.28461514986478,117.13703692400897,0.14757822585580982,0.029515645171161967,0.11806258068464785,,,
2024-10-03 00:00:00+00:00,122.81478118896484,122.8499984741211,124.36000061035156,120.33999633789062,120.91999816894531,277118000,,117.71655301117843,,118.14082796898114,117.5602192610543,0.5806087079268423,0.13973425772229803,0.44087445020454424,,,
2024-10-04 00:00:00+00:00,124.88418579101562,124.91999816894531,125.04000091552734,121.83000183105469,124.94000244140625,243678100,,118.40259540715623,,119.1837772305141,118.10538806904623,1.078389161467868,0.32746523847141207,0.7509239229964559,,,
2024-10-07 00:00:00+00:00,127.68338775634766,127.72000122070312,130.63999938964844,124.94999694824219,124.98999786376953,346250200,,119.28996738939878,,120.49704245977395,118.81758163583562,1.679460823938328,0.5978643555647953,1.0815964683735326,,,
2024-10-08 00:00:00+00:00,132.85189819335938,132.88999938964844,133.47999572753906,129.4199981689453,130.25999450683594,285722500,,120.58520853227971,,122.40365121821618,119.85998295093286,2.543668267283323,0.9870251379085009,1.556643129374822,,,
2024-10-09 00:00:00+00:00,132.61195373535156,132.64999389648438,134.52000427246094,131.3800048828125,134.11000061035156,246191600,,121.73423570982301,,123.98001163025745,120.80739116912186,3.172620461135594,1.4241442025539195,1.7484762585816744,,,
2024-10-10 00:00:00+00:00,134.77134704589844,134.80999755859375,135.0,131.0,131.91000366210938,242311300,,122.9795463620869,,125.64616331153996,121.8446212720457,3.801542039494265,1.8996237699419887,1.9019182695522765,,,
2024-10-11 00:00:00+00:00,134.76136779785156,134.8000030517578,135.77999877929688,133.66000366210938,134.00999450683594,170209500,,124.10530414205554,,127.05444634849655,122.80427918165401,4.2501671668425445,2.3697324493221,1.8804347175204446,,,
2024-10-14 00:00:00+00:00,138.0304412841797,138.07000732421875,139.60000610351562,136.3000030517578,136.47000122070312,232347700,,125.43527587369013,,128.7491480370692,123.93507385888103,4.814074178188179,2.858600795095316,1.9554733830928628,,,
2024-10-15 00:00:00+00:00,131.56228637695312,131.60000610351562,138.57000732421875,128.74000549316406,137.8699951171875,377831000,,126.02239303843541,,129.18774158575326,124.50284661774285,4.684894968010411,3.223859629678335,1.4610353383320764,,,
2024-10-16 00:00:00+00:00,135.68109130859375,135.72000122070312,136.6199951171875,131.5800018310547,133.97999572753906,264879700,,126.94597477007996,,130.19270460651478,125.33374695870287,4.858957647811906,3.550879233305049,1.3080784145068565,,,
2024-10-17 00:00:00+00:00,136.8907470703125,136.92999267578125,140.88999938964844,136.8699951171875,139.33999633789062,306435900,,127.89683361824198,,131.22921046332502,126.1927281229309,5.036482340394116,3.847999854722863,1.188482485671253,,,
2024-10-18 00:00:00+00:00,137.96043395996094,138.0,138.89999389648438,137.27999877929688,138.6699981689453,176090200,,128.85903994031418,,132.27087039204426,127.06734085456566,5.203529537478602,4.119105791274011,1.0844237462045907,,,
2024-10-21 00:00:00+00:00,143.66880798339844,143.7100067138672,143.7100067138672,138.0,138.1300048828125,264554500,,130.2734177282716,83.26276540880814,134.03073751847856,128.3001309182176,5.7306066002609555,4.4414059530714,1.2892006471895554,,,
2024-10-22 00:00:00+00:00,143.54884338378906,143.58999633789062,144.4199981689453,141.77999877929688,142.91000366210938,226311600,,131.54166331014008,82.1967520879052,135.50139272146504,129.43271354189707,6.068679179567965,4.766860598370713,1.301818581197252,,,
2024-10-23 00:00:00+00:00,139.51998901367188,139.55999755859375,142.42999267578125,137.4600067138672,142.02999877929688,285930000,,132.30531419094518,71.7295064548216,136.12579346563868,130.18288272831904,5.942910737319636,5.002070626160498,0.9408401111591376,,,
2024-10-24 00:00:00+00:00,140.3697509765625,140.41000366210938,141.35000610351562,138.4600067138672,140.82000732421875,172354900,,133.07718937867511,70.80310847913465,136.78490272663416,130.94044724193316,5.844455484701001,5.170547597868599,0.673907886832402,,,
2024-10-25 00:00:00+00:00,141.49942016601562,141.5399932861328,144.1300048828125,140.8000030517578,140.92999267578125,205122100,,133.8831707031949,69.43192784603562,137.51645512040318,131.72559880076275,5.790856319640426,5.294609342222964,0.4962469774174618,,,
2024-10-28 00:00:00+00:00,140.479736328125,140.52000427246094,143.13999938964844,140.0500030517578,143.0,173586700,133.80699996948243,134.51525009074405,62.145819791827584,137.97853960533513,132.37703624311078,5.601503362224349,5.3559881462232415,0.24551521600110782,7.866717909620383,149.5404357887232,118.07356415024167
2024-10-29 00:00:00+00:00,141.20950317382812,141.25,142.25999450683594,138.89999389648438,140.2899932861328,157593600,135.0194999694824,135.1566548440065,63.47963597018652,138.48184120451435,133.03429281769516,5.447548386819193,5.374300194342432,0.07324819247676118,6.95602593440204,148.93155183828648,121.10744810067833
2024-10-30 00:00:00+00:00,139.300048828125,139.33999633789062,140.3300018310547,136.80999755859375,139.5399932861328,179418100,136.0439998626709,135.55506831961452,57.15639755589346,138.61386507118763,133.50138196733928,5.112483103848348,5.321936776243615,-0.20945367239526735,5.873945812876031,147.79189148842295,124.29610823691883
2024-10-31 00:00:00+00:00,132.72193908691406,132.75999450683594,137.61000061035156,132.11000061035156,137.60000610351562,270039600,136.53949966430665,135.2888708136356,47.3312290950205,137.7132695997489,133.44646437767238,4.266805222076528,5.110910465410198,-0.8441052433336704,5.064604553104191,146.66870877051502,126.41029055809827
2024-11-01 00:00:00+00:00,135.36119079589844,135.39999389648438,137.30999755859375,134.57000732421875,134.6999969482422,207127800,137.0634994506836,135.2994539643831,46.44850533672039,137.35738103001592,133.59117026795474,3.7662107620611778,4.841970524740394,-1.0757597626792164,4.280606875192031,145.62471320106766,128.50228570029952
2024-11-04 00:00:00+00:00,136.01100158691406,136.0500030517578,138.9600067138672,135.57000732421875,137.2100067138672,187528200,137.47999954223633,135.37093482984736,57.003456641174516,137.15624595643774,133.77330602971793,3.382939926719814,4.550164405136279,-1.1672244784164647,3.6878540217613303,144.85570758575898,130.10429149871368
2024-11-05 00:00:00+00:00,139.86988830566406,139.91000366210938,140.3699951171875,137.3300018310547,137.4499969482422,160537400,137.83099975585938,135.8032270995866,56.648684771239296,137.57990098807952,134.2278762247099,3.352024763369627,4.310536476782948,-0.958511713413321,3.5598482674138445,144.95069629068706,130.7113032210317
2024-11-06 00:00:00+00:00,145.56825256347656,145.61000061035156,146.49000549316406,141.9600067138672,142.9600067138672,242043900,138.47900009155273,136.73720552918326,62.05556146597905,138.81530092996752,135.07099654957224,3.7443043803952776,4.197290057505414,-0.4529856771101368,3.7420077493753308,145.9630155903034,130.99498459280207
2024-11-07 00:00:00+00:00,148.83734130859375,148.8800048828125,148.92999267578125,146.1699981689453,146.38999938964844,207323300,139.18250045776367,137.89366261048127,64.24083953670817,140.3637169227129,136.09388605573818,4.269830866974729,4.211798219399277,0.05803264757545179,4.297311789498455,147.77712403676057,130.58787687876676
2024-11-08 00:00:00+00:00,147.5876922607422,147.6300048828125,149.77000427246094,146.25999450683594,148.77000427246094,175665800,139.8240005493164,138.82093330308425,55.80912497145196,141.48160737811284,136.9484133762622,4.533194001850632,4.276077375889549,0.25711662596108287,4.558361223622121,148.94072299656062,130.70727810207217
2024-11-11 00:00:00+00:00,145.2183380126953,145.25999450683594,148.85000610351562,143.57000732421875,148.67999267578125,182325600,140.18349990844726,139.43417722725107,52.32008601563358,142.0628977056087,137.564086052601,4.498811653007692,4.320624231313177,0.17818742169451518,4.694247465858184,149.57199484016363,130.7950049767309
