Date,Close,High,Low,Open,Volume,SMA_20,EMA_20
,NVDA,NVDA,NVDA,NVDA,NVDA,,
2025-05-15,134.8206329345703,136.29053200968949,132.65078555171073,134.2806619130786,226632600,,134.8206329345703
2025-05-16,135.39059448242188,136.34054073998118,133.45074197294815,136.21054488205627,226542500,,134.87491498674666
2025-05-19,135.5605926513672,135.86055961165334,132.38080555276906,132.38080555276906,193154600,,134.9402176214724
2025-05-20,134.37066650390625,134.5706495538956,132.610779045451,134.28066116234166,161514200,,134.88597465789468
2025-05-21,131.7908477783203,137.39044962876582,130.58092511560693,133.0507547616815,270608700,,134.5912006693638
2025-05-22,132.82078552246094,134.2406851659139,131.54087555490528,132.22082104991222,187344000,,134.42258970299207
2025-05-23,131.2808837890625,132.67078673422913,129.15104195341007,129.99098000853303,198821300,,134.12337961595117
2025-05-27,135.49058532714844,135.65057787204648,133.300735049259,134.14067302338051,192953600,,134.25358968368423
2025-05-28,134.80064392089844,137.24047706552236,134.7806410364111,136.0205604932104,304021100,,134.30569008722844
2025-05-29,139.1803436279297,143.48004828952517,137.90043367160317,142.24012884407688,369241900,,134.76994280539046
2025-05-30,135.12062072753906,139.61029915281162,132.91076748843994,138.7103677567503,333170900,,134.80334070273796
2025-06-02,137.37046813964844,138.11040700485356,135.39059460313518,135.48059995132564,197663100,,135.04782903006276
2025-06-03,141.21018981933594,141.9901344074345,137.94041273370485,138.77035689954903,225578800,,135.63472053380306
2025-06-04,141.91014099121094,142.38010956756776,139.53030141372145,142.18012651028872,167120800,,136.23237962498476
2025-06-05,139.98028564453125,143.99000172763624,138.82036252431462,142.16012695808664,231397900,,136.58932305541776
2025-06-06,141.7101593017578,143.26005471165655,141.50016717206393,142.50009772583994,153986200,,137.07702174554538
2025-06-09,142.62010192871094,144.98993249459744,141.9301473949137,143.18006060607402,185114500,,137.6049341439421
2025-06-10,143.95001220703125,144.279975869788,141.52017297716907,142.68009610535242,155881900,,138.20922729280773
2025-06-11,142.8300018310547,144.99000549316406,141.8699951171875,144.61000061035156,167694000,,138.64930105835506
2025-06-12,145.0,145.0,141.85000610351562,141.97000122070312,162365000,137.8604278564453,139.2541295289879
2025-06-13,141.97000122070312,143.5800018310547,140.85000610351562,142.47999572753906,180820600,138.21789627075196,139.51278397581794
2025-06-16,144.69000244140625,146.17999267578125,143.1999969482422,143.35000610351562,183133700,138.68286666870117,140.00585240111207
2025-06-17,144.1199951171875,145.22000122070312,143.77999877929688,144.49000549316406,139108000,139.1108367919922,140.39767551692879
2025-06-18,145.47999572753906,145.64999389648438,143.1199951171875,144.00999450683594,161494100,139.66630325317382,140.8817060131774
2025-06-20,143.85000610351562,146.1999969482422,142.64999389648438,145.4499969482422,242956200,140.2692611694336,141.16440125987629
2025-06-23,144.1699981689453,144.77999877929688,142.02999877929688,142.5,154308900,140.83672180175782,141.45064858454953
2025-06-24,147.89999389648438,147.9600067138672,145.5,145.55999755859375,187566100,141.6676773071289,142.06487194759094
2025-06-25,154.30999755859375,154.4499969482422,149.25999450683594,149.27000427246094,269146500,142.60864791870117,143.23107438673406
2025-06-26,155.02000427246094,156.72000122070312,154.0,155.97999572753906,198145700,143.6196159362793,144.35382961394617
2025-06-27,157.75,158.7100067138672,155.25999450683594,156.0399932861328,263234500,144.5480987548828,145.6296553649989
2025-06-30,157.99000549316406,158.66000366210938,155.9600067138672,158.39999389648438,194580300,145.69156799316406,146.80683156768131
2025-07-01,153.3000030517578,157.1999969482422,151.49000549316406,156.2899932861328,213143600,146.48804473876953,147.42522885187907
2025-07-02,157.25,157.60000610351562,152.97000122070312,152.97999572753906,171224100,147.29003524780273,148.3609213421763
2025-07-03,159.33999633789062,160.97999572753906,157.77000427246094,158.3699951171875,143716100,148.16152801513672,149.40654753224433
2025-07-07,158.24000549316406,159.30999755859375,157.33999633789062,158.1999969482422,140139000,149.07451400756835,150.2478292428081
2025-07-08,160.0,160.22000122070312,158.38999938964844,159.3300018310547,138133000,149.98900604248047,151.17660741015973
2025-07-09,162.8800048828125,164.4199981689453,161.16000366210938,161.22000122070312,183656400,151.00200119018555,152.29121669326952
2025-07-10,164.10000610351562,164.5,161.61000061035156,164.32000732421875,167704100,152.00950088500977,153.41586330376916
2025-07-11,164.9199981689453,167.88999938964844,163.47000122070312,163.72000122070312,193633300,153.1140007019043,154.51149519569069
2025-07-14,164.07000732421875,165.49000549316406,162.02000427246094,165.3699951171875,136975800,154.06750106811523,155.42182968412192
2025-07-15,170.6999969482422,172.39999389648438,169.1999969482422,171.19000244140625,230627400,155.50400085449218,156.87689323308575
2025-07-16,171.3699951171875,171.75,168.89999389648438,171.05999755859375,158831500,156.83800048828124,158.25718865061924
2025-07-17,173.0,174.16000366210938,170.8300018310547,172.02000427246094,160841100,158.28200073242186,159.66126592198884
2025-07-18,172.41000366210938,174.25,171.25999450683594,173.63999938964844,146456400,159.62850112915038,160.87543142104795
2025-07-21,171.3800048828125,173.3800048828125,171.0,172.75,123126100,161.00500106811523,161.87586698883504
2025-07-22,167.02999877929688,171.38999938964844,164.5800018310547,171.33999633789062,193114300,162.14800109863282,162.36673668316476
2025-07-23,170.77999877929688,171.25999450683594,167.97000122070312,169.52999877929688,154082200,163.29200134277343,163.16799973993926
2025-07-24,173.74000549316406,173.8300018310547,171.3000030517578,172.44000244140625,128984600,164.26350173950195,164.17485743072257
2025-07-25,173.5,174.72000122070312,172.9600067138672,173.61000061035156,122316800,165.1875015258789,165.0629662468442
2025-07-28,176.75,177.0,173.97000122070312,174.02000427246094,140023500,166.13750152587892,166.17601708047812
2025-07-29,175.50999450683594,179.3800048828125,175.02000427246094,177.9600067138672,154077500,167.0135009765625,167.06496731155983
2025-07-30,179.27000427246094,179.88999938964844,176.0399932861328,176.50999450683594,174312200,168.31200103759767,168.2273517840266
2025-07-31,177.8699951171875,183.3000030517578,175.92999267578125,182.89999389648438,221685400,169.34300079345704,169.14569876813718
2025-08-01,173.72000122070312,176.5399932861328,170.88999938964844,174.08999633789062,204529000,170.06200103759767,169.5813466207625
2025-08-04,180.0,180.1999969482422,174.52000427246094,175.16000366210938,148174600,171.15000076293944,170.57359932354703
2025-08-05,178.25999450683594,180.25999450683594,175.89999389648438,179.6199951171875,156407600,172.06300048828126,171.30563696005075
2025-08-06,179.4199981689453,179.89999389648438,176.25,176.3300018310547,137192300,172.8900001525879,172.07843326565975
2025-08-07,180.77000427246094,183.8800048828125,178.8000030517578,181.57000732421875,151878400,173.72350006103517,172.90620193297414
2025-08-08,182.6999969482422,183.3000030517578,180.39999389648438,181.5500030517578,123396700,174.6125,173.83894431538062
2025-08-11,182.05999755859375,183.83999633789062,180.25,182.0500030517578,138323200,175.51199951171876,174.6219017671152
2025-08-12,183.16000366210938,184.47999572753906,179.4600067138672,182.9600067138672,145485700,176.1349998474121,175.4350543285432
2025-08-13,181.58999633789062,183.97000122070312,179.35000610351562,182.6199951171875,179871700,176.64599990844727,176.0212392818144
2025-08-14,182.02000427246094,183.02000427246094,179.4600067138672,179.75,129317300,177.0970001220703,176.59255023330454
